,scientific_name,common_names,occurrence,nativeness,abundance,seasonality
13556,Ammodramus bairdii,Baird's Sparrow,Present,Native,Unknown,Vagrant
13557,Ammodramus leconteii,Le Conte's Sparrow,Present,Native,Unknown,Vagrant
13558,Ammodramus savannarum,Grasshopper Sparrow,Present,Native,Unknown,No Data
13559,Amphispiza belli,Sage Sparrow,Present,Native,Unknown,No Data
13560,Amphispiza bilineata,Black-Throated Sparrow,Present,Native,Unknown,Resident
13561,Calamospiza melanocorys,Lark Bunting,Present,Native,Unknown,No Data
13562,Chondestes grammacus,Lark Sparrow,Present,Native,Unknown,No Data
13563,Junco hyemalis,Dark-Eyed Junco,Present,Native,Unknown,No Data
13564,Melospiza georgiana,Swamp Sparrow,Present,Native,Unknown,No Data
13565,Melospiza lincolnii,Lincoln's Sparrow,Present,Native,Unknown,No Data
13566,Melospiza melodia,Song Sparrow,Present,Native,Unknown,No Data
13567,Passerculus sandwichensis,Savannah Sparrow,Present,Native,Unknown,No Data
13568,Passerella iliaca,Fox Sparrow,Present,Native,Unknown,No Data
13569,Pipilo chlorurus,Green-Tailed Towhee,Present,Native,Unknown,No Data
13570,Pipilo erythrophthalmus,Eastern Towhee,Present,Native,Unknown,Vagrant
13571,Pipilo fuscus,Canyon Towhee,Present,Native,Unknown,Resident
13572,Pipilo maculatus,Spotted Towhee,Present,Native,Unknown,Migratory
13573,Pooecetes gramineus,Vesper Sparrow,Present,Native,Unknown,No Data
13574,Spizella arborea,American Tree Sparrow,Present,Native,Unknown,Vagrant
13575,Spizella atrogularis,Black-Chinned Sparrow,Present,Native,Unknown,Resident
13576,Spizella breweri,Brewer's Sparrow,Present,Native,Unknown,No Data
13577,Spizella pallida,Clay-Colored Sparrow,Present,Native,Unknown,No Data
13578,Spizella passerina,Chipping Sparrow,Present,Native,Unknown,No Data
13579,Spizella pusilla,Field Sparrow,Present,Native,Unknown,No Data
13580,Zonotrichia albicollis,White-Throated Sparrow,Present,Native,Unknown,No Data
13581,Zonotrichia atricapilla,Golden-Crowned Sparrow,Present,Native,Unknown,Vagrant
13582,Zonotrichia leucophrys,White-Crowned Sparrow,Present,Native,Unknown,No Data
13583,Zonotrichia querula,Harris's Sparrow,Present,Native,Unknown,No Data
13584,Carduelis pinus,Pine Siskin,Present,Native,Unknown,No Data
13585,Carduelis psaltria,Lesser Goldfinch,Present,Native,Unknown,Breeder
13586,Carduelis tristis,American Goldfinch,Present,Native,Unknown,No Data
13587,Carpodacus cassinii,Cassin's Finch,Present,Native,Unknown,No Data
13588,Carpodacus mexicanus,House Finch,Present,Native,Unknown,Breeder
13589,Carpodacus purpureus,Purple Finch,Present,Native,Unknown,Vagrant
13590,Coccothraustes vespertinus,Evening Grosbeak,Present,Native,Unknown,Vagrant
13591,Loxia curvirostra,Red Crossbill,Present,Native,Unknown,Vagrant
13592,Hirundo rustica,Barn Swallow,Present,Native,Unknown,No Data
13593,Petrochelidon fulva,Cave Swallow,Present,Native,Unknown,Breeder
13594,Petrochelidon pyrrhonota,Cliff Swallow,Present,Native,Unknown,Resident
13595,Progne subis,Purple Martin,Present,Native,Unknown,No Data
13596,Riparia riparia,Bank Swallow,Present,Native,Unknown,Breeder
13597,Stelgidopteryx serripennis,Northern Rough-Winged Swallow,Present,Native,Unknown,No Data
13598,Tachycineta bicolor,Tree Swallow,Present,Native,Unknown,No Data
13599,Tachycineta thalassina,Violet-Green Swallow,Present,Native,Unknown,No Data
13600,Agelaius phoeniceus,Red-Winged Blackbird,Present,Native,Unknown,Resident
13601,Dolichonyx oryzivorus,Bobolink,Present,Native,Unknown,No Data
13602,Euphagus carolinus,Rusty Blackbird,Present,Native,Unknown,No Data
13603,Euphagus cyanocephalus,Brewer's Blackbird,Present,Native,Unknown,No Data
13604,Icterus bullockii,Bullock's Oriole,Present,Native,Unknown,Breeder
13605,Icterus cucullatus,Hooded Oriole,Present,Native,Unknown,Resident
13606,Icterus galbula,Baltimore Oriole,Present,Native,Unknown,No Data
13607,Icterus parisorum,Scott's Oriole,Present,Native,Unknown,Breeder
13608,Icterus spurius,Orchard Oriole,Present,Native,Unknown,Breeder
13609,Molothrus aeneus,Bronzed Cowbird,Present,Native,Unknown,Resident
13610,Molothrus ater,Brown-Headed Cowbird,Present,Native,Unknown,Breeder
13611,Quiscalus mexicanus,Great-Tailed Grackle,Present,Native,Unknown,No Data
13612,Quiscalus quiscula,Common Grackle,Present,Native,Unknown,No Data
13613,Sturnella magna,Eastern Meadowlark,Present,Native,Unknown,Resident
13614,Sturnella neglecta,Western Meadowlark,Present,Native,Unknown,Resident
13615,Xanthocephalus xanthocephalus,Yellow-Headed Blackbird,Present,Native,Unknown,No Data
13616,Lanius ludovicianus,Loggerhead Shrike,Present,Native,Unknown,Resident
13617,Dumetella carolinensis,Gray Catbird,Present,Native,Unknown,No Data
13618,Mimus polyglottos,Northern Mockingbird,Present,Native,Unknown,Breeder
13619,Oreoscoptes montanus,Sage Thrasher,Present,Native,Unknown,No Data
13620,Toxostoma crissale,Crissal Thrasher,Present,Native,Unknown,Resident
13621,Toxostoma curvirostre,Curve-Billed Thrasher,Present,Native,Unknown,Breeder
13622,Toxostoma longirostre,Long-Billed Thrasher,Present,Native,Unknown,No Data
13623,Toxostoma rufum,Brown Thrasher,Present,Native,Unknown,No Data
13624,Anthus rubescens,American Pipit,Present,Native,Unknown,No Data
13625,Anthus spragueii,Sprague's Pipit,Present,Native,Unknown,Vagrant
13626,Baeolophus ridgwayi,Juniper Titmouse,Present,Native,Unknown,No Data
13627,Poecile gambeli,Mountain Chickadee,Present,Native,Unknown,No Data
13628,Cardellina rubrifrons,Red-Faced Warbler,Present,Native,Unknown,No Data
13629,Dendroica caerulescens,Black-Throated Blue Warbler,Present,Native,Unknown,No Data
13630,Dendroica castanea,Bay-Breasted Warbler,Present,Native,Unknown,Vagrant
13631,Dendroica cerulea,Cerulean Warbler,Present,Native,Unknown,Vagrant
13632,Dendroica coronata,Yellow-Rumped Warbler,Present,Native,Unknown,No Data
13633,Dendroica discolor,Prairie Warbler,Present,Native,Unknown,No Data
13634,Dendroica dominica,Yellow-Throated Warbler,Present,Native,Unknown,Vagrant
13635,Dendroica fusca,Blackburnian Warbler,Present,Native,Unknown,Vagrant
13636,Dendroica graciae,Grace's Warbler,Present,Native,Unknown,No Data
13637,Dendroica magnolia,Magnolia Warbler,Present,Native,Unknown,Vagrant
13638,Dendroica nigrescens,Black-Throated Gray Warbler,Present,Native,Unknown,No Data
13639,Dendroica occidentalis,Hermit Warbler,Present,Native,Unknown,Vagrant
13640,Dendroica palmarum,Palm Warbler,Present,Native,Unknown,No Data
